algorithm,type,n,time_s
bubble_sort,random,100,0.0005891999996189649
selection_sort,random,100,0.0004904333327431232
insertion_sort,random,100,0.00030239999856955063
merge_sort,random,100,0.0003103000029417065
quick_sort,random,100,0.00027476666582515463
bubble_sort,random,1000,0.0791978666675277
selection_sort,random,1000,0.031851333333179355
insertion_sort,random,1000,0.032261700000769146
merge_sort,random,1000,0.002371633335618147
quick_sort,random,1000,0.0024369000020669773
bubble_sort,random,5000,1.7426090333319735
selection_sort,random,5000,0.6359508333359069
insertion_sort,random,5000,0.5292547000038516
merge_sort,random,5000,0.010137766667564089
quick_sort,random,5000,0.010571299998749359
bubble_sort,random,10000,5.415964366666837
selection_sort,random,10000,2.355364966664638
insertion_sort,random,10000,2.318942700000965
merge_sort,random,10000,0.030691933335522965
quick_sort,random,10000,0.024193099998228718
bubble_sort,sorted,100,6.699997660083075e-06
selection_sort,sorted,100,0.000192933335104802
insertion_sort,sorted,100,9.933333785738796e-06
merge_sort,sorted,100,9.530000291609515e-05
quick_sort,sorted,100,0.00012706666651259488
bubble_sort,sorted,1000,6.813333796647687e-05
selection_sort,sorted,1000,0.02116306666721357
insertion_sort,sorted,1000,0.00010246666594563673
merge_sort,sorted,1000,0.0011663333328518395
quick_sort,sorted,1000,0.001579733332619071
bubble_sort,sorted,5000,0.00030719999873933074
selection_sort,sorted,5000,0.5717486333329967
insertion_sort,sorted,5000,0.0005401000016718172
merge_sort,sorted,5000,0.0067926999981864356
quick_sort,sorted,5000,0.009689833333444161
bubble_sort,sorted,10000,0.0006625666695375306
selection_sort,sorted,10000,2.4097062333336603
insertion_sort,sorted,10000,0.0010847999995651965
merge_sort,sorted,10000,0.016355033333335694
quick_sort,sorted,10000,0.021437666667528294
bubble_sort,reversed,100,0.0005088333321812873
selection_sort,reversed,100,0.00020683333423221484
insertion_sort,reversed,100,0.00035536666594756144
merge_sort,reversed,100,0.0001014333320199512
quick_sort,reversed,100,0.0001356999976754499
bubble_sort,reversed,1000,0.09568073333260448
selection_sort,reversed,1000,0.026141299999532446
insertion_sort,reversed,1000,0.1067266333338921
merge_sort,reversed,1000,0.001531033330441763
quick_sort,reversed,1000,0.0023368666685807207
bubble_sort,reversed,5000,1.8187108333319582
selection_sort,reversed,5000,0.6161655000032624
insertion_sort,reversed,5000,1.1973114000017329
merge_sort,reversed,5000,0.007120299999466321
quick_sort,reversed,5000,0.009877266665474357
bubble_sort,reversed,10000,7.050480366667519
selection_sort,reversed,10000,2.3651345333322147
insertion_sort,reversed,10000,4.2712792666667765
merge_sort,reversed,10000,0.014897666670246204
quick_sort,reversed,10000,0.021092066667430725
bubble_sort,almost_sorted,100,0.00020616666491453847
selection_sort,almost_sorted,100,0.00021656666649505496
insertion_sort,almost_sorted,100,3.589999929924185e-05
merge_sort,almost_sorted,100,0.000107633330723426
quick_sort,almost_sorted,100,0.00015759999951114878
bubble_sort,almost_sorted,1000,0.034831666666529294
selection_sort,almost_sorted,1000,0.021053533334149204
insertion_sort,almost_sorted,1000,0.002367099999294927
merge_sort,almost_sorted,1000,0.0015379999992243636
quick_sort,almost_sorted,1000,0.001993466663407162
bubble_sort,almost_sorted,5000,0.7768270666662526
selection_sort,almost_sorted,5000,0.5336774999983996
insertion_sort,almost_sorted,5000,0.06088159999732549
merge_sort,almost_sorted,5000,0.009558633336079462
quick_sort,almost_sorted,5000,0.009638566669309512
bubble_sort,almost_sorted,10000,3.1535246666632397
selection_sort,almost_sorted,10000,2.1824625666680126
insertion_sort,almost_sorted,10000,0.2635188666657389
merge_sort,almost_sorted,10000,0.019884000001184177
quick_sort,almost_sorted,10000,0.020102833332202863
